"bpmag-Gmag","bpmag-rpmag","bpmag-Jmag","bpmag-Hmag","bpmag-Kmag","Gmag-rpmag","Gmag-Jmag","Gmag-Hmag","Gmag-Kmag","rpmag-Jmag","rpmag-Hmag","rpmag-Kmag","Jmag-Hmag","Jmag-Kmag","Hmag-Kmag","class"
0.0346,0.0992,0.2463,0.2883,0.5023,0.0645,0.2116,0.2536,0.4676,0.1471,0.1891,0.4031,0.042,0.256,0.214,"B"
0.1817,0.4796,0.7429,0.8279,0.9079,0.298,0.5612,0.6462,0.7262,0.2632,0.3482,0.4282,0.085,0.165,0.08,"B"
0.1405,0.4028,0.8009,0.8449,1.1029,0.2623,0.6604,0.7044,0.9624,0.3981,0.4421,0.7001,0.044,0.302,0.258,"B"
-0.1183,-0.1873,-0.1696,-0.0996,0.3544,-0.0689,-0.0512,0.0188,0.4728,0.0177,0.0877,0.5417,0.07,0.524,0.454,"B"
0.2061,0.5587,1.1631,1.3471,1.6331,0.3526,0.9571,1.1411,1.4271,0.6045,0.7885,1.0745,0.184,0.47,0.286,"B"
0.3927,0.9915,1.8122,2.0532,2.2632,0.5988,1.4195,1.6605,1.8705,0.8207,1.0617,1.2717,0.241,0.451,0.21,"B"
0.0413,0.1369,0.1308,0.2038,0.3318,0.0956,0.0896,0.1626,0.2906,-0.006,0.067,0.195,0.073,0.201,0.128,"B"
0.3962,0.9914,1.2576,1.4546,1.5386,0.5952,0.8614,1.0584,1.1424,0.2662,0.4632,0.5472,0.197,0.281,0.084,"B"
0.0094,0.0211,0.0475,-0.0075,-0.0115,0.0117,0.0381,-0.0169,-0.0209,0.0264,-0.0286,-0.0326,-0.055,-0.059,-0.004,"B"
0.4992,1.1911,2.0655,2.3155,2.4965,0.6919,1.5663,1.8163,1.9973,0.8744,1.1244,1.3054,0.25,0.431,0.181,"B"
0.0716,0.2086,0.5391,0.5671,0.6021,0.1369,0.4675,0.4955,0.5305,0.3305,0.3585,0.3935,0.028,0.063,0.035,"B"
